Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIOL,3520,3U1,3,6,8,2,3,2,,,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,ixm121430,iti mehta
BIOL,3520,3U2,2,5,5,3,4,2,,2,1,,,,,,,0,"Mehta, Iti","Shipman, Braden M","Kunder, Nikesh Prakash",,,,ixm121430,iti mehta
BIOL,3V00,0U1,5,3,5,1,,1,,,,,,,,,,0,"Sarcar, Subha N",,,,,,sns064000,subha sarcar
BIOL,4380,3U1,2,8,3,2,,2,2,,,,,,1,,,0,"Maynard, Caitlin S","Zhang, Bei","Shryock, Douglas G","Joshi, Ketki","Dhar, Roopal",,cmb170830,
BIOL,5330,0W1,,11,4,,,,,,,,,,,,,0,"Hajeri, Vinita",,,,,,vxh151030,vinita hajeri
BIS,2190,0W1,9,1,1,,1,,,,1,,,,,,,0,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,,cwe011000,christopher edwards
BIS,3320,091,1,2,2,1,2,1,,,2,,,,,,,2,"Wright, David A",,,,,,jxh100220,jennifer hudson
BIS,3320,0U1,1,2,3,4,2,,,,,,,,1,,,0,"Wright, David A",,,,,,wright,david wright
BLAW,2301,5U1,,4,5,4,6,5,1,5,4,,3,,,,,1,"Betanzos, Christina L",,,,,,clb120030,christina betanzos
BMEN,3150,1U1,5,2,1,3,1,,1,,1,,,,,,,0,"Ali, Tariq M","Chaudhary, Sugandha",,,,,tma051000,tariq ali
BMEN,3350,0U1,3,1,,1,1,2,1,2,1,,,,1,,,0,"Ali, Tariq M",,,,,,tma051000,tariq ali
BMEN,3402,0U1,1,2,,1,1,1,,2,1,,4,,1,,,0,"Ardestani Khoubrouy, Soudeh","Kian Pour, Bahareh",,,,,sxa074200,soudeh khoubrouy
BMEN,4388,0U1,,2,8,3,4,1,,,,,,,,,,0,"Polk, Todd W","Molaei Imenabadi, Rouzbeh","Kang, Taek",,,,twp017000,todd polk
BMEN,6V87,0U1,,12,,,,,,,,,,,,,,0,"Porter, Benjamin A",,,,,,bap061000,benjamin porter
BPS,4305,5U1,5,8,8,9,6,5,3,2,1,,1,1,,,,1,"Lee, Minjung",,,,,,smc130730,shawn carraher
BPS,4395,0U1,,44,,1,,,,1,,,,,,,,0,"Parks, David",,,,,,dxp153830,david parks
BPS,6310,0W1,,12,9,12,10,,,,,,,,,,,0,"Xia, Jun","Garg, Suyash",,,,,chasteen,larry chasteen
